gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
2727816658	370	183	265	SUPERFAMILY	SSF82714	IPR027463	Multidrug efflux transporter AcrB TolC docking domain, DN/DC subdomains	
2727816658	370	44	128	SUPERFAMILY	SSF82693			
2727816658	370	138	182	SUPERFAMILY	SSF82693			
2727816658	370	268	325	SUPERFAMILY	SSF82693			
2727816662	246	1	61	SUPERFAMILY	SSF55008	IPR006121	Heavy metal-associated domain, HMA	GO:0030001|GO:0046872
2727816662	246	2	60	ProSiteProfiles	PS50846	IPR006121	Heavy metal-associated domain, HMA	GO:0030001|GO:0046872
2727816662	246	7	36	ProSitePatterns	PS01047	IPR017969	Heavy-metal-associated, conserved site	GO:0030001|GO:0046872
2727816663	175	113	160	SUPERFAMILY	SSF46689	IPR009057	Homeodomain-like	GO:0003677
2727816663	175	57	161	ProSiteProfiles	PS01124	IPR018060	DNA binding HTH domain, AraC-type	GO:0003700|GO:0006355|GO:0043565
2727816663	175	76	159	SMART	SM00342	IPR018060	DNA binding HTH domain, AraC-type	GO:0003700|GO:0006355|GO:0043565
2727816663	175	113	155	ProSitePatterns	PS00041	IPR018062	HTH domain AraC-type, conserved site	GO:0003700|GO:0006355|GO:0043565
2727816665	189	111	189	ProSiteProfiles	PS51186	IPR000182	GNAT domain	GO:0008080
2727816665	189	3	181	SUPERFAMILY	SSF55729	IPR016181	Acyl-CoA N-acyltransferase	
2727816666	326	262	326	ProSiteProfiles	PS50043	IPR000792	Transcription regulator LuxR, C-terminal	GO:0003700|GO:0006355
2727816666	326	266	323	SMART	SM00421	IPR000792	Transcription regulator LuxR, C-terminal	GO:0003700|GO:0006355
2727816666	326	255	322	SUPERFAMILY	SSF46894	IPR016032	Signal transduction response regulator, C-terminal effector	GO:0003677|GO:0006355
2727816668	77	16	71	SMART	SM00530	IPR001387	Cro/C1-type helix-turn-helix domain	GO:0043565
2727816668	77	17	71	ProSiteProfiles	PS50943	IPR001387	Cro/C1-type helix-turn-helix domain	GO:0043565
2727816668	77	11	75	SUPERFAMILY	SSF47413	IPR010982	Lambda repressor-like, DNA-binding domain	GO:0003677
2727816672	1834	1361	1514	ProSiteProfiles	PS51194	IPR001650	Helicase, C-terminal	GO:0003676|GO:0004386|GO:0005524
2727816672	1834	1394	1480	SMART	SM00490	IPR001650	Helicase, C-terminal	GO:0003676|GO:0004386|GO:0005524
2727816672	1834	942	1217	SMART	SM00487	IPR014001	Helicase, superfamily 1/2, ATP-binding domain	
2727816672	1834	954	1209	ProSiteProfiles	PS51192	IPR014001	Helicase, superfamily 1/2, ATP-binding domain	
2727816672	1834	902	1056	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2727816672	1834	1118	1227	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2727816672	1834	1272	1523	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2727816672	1834	97	299	SUPERFAMILY	SSF53335			
2727816675	505	6	14	ProSitePatterns	PS00397	IPR006118	Recombinase, conserved site	GO:0000150|GO:0006310
2727816675	505	1	152	SUPERFAMILY	SSF53041	IPR006119	Resolvase, N-terminal	GO:0000150|GO:0003677|GO:0006310
2727816675	505	3	152	SMART	SM00857	IPR006119	Resolvase, N-terminal	GO:0000150|GO:0003677|GO:0006310
2727816684	1164	11	274	ProSiteProfiles	PS50011	IPR000719	Protein kinase domain	GO:0004672|GO:0005524|GO:0006468
2727816684	1164	11	274	SMART	SM00220	IPR002290	Serine/threonine- /dual specificity protein kinase, catalytic  domain	GO:0004672|GO:0005524|GO:0006468
2727816684	1164	620	856	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2727816684	1164	43	285	SUPERFAMILY	SSF56112	IPR011009	Protein kinase-like domain	GO:0016772
