gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
2755609744	585	190	454	SUPERFAMILY	SSF55486			
2755609745	243	82	233	SUPERFAMILY	SSF52833	IPR012336	Thioredoxin-like fold	
2755609745	243	39	83	SUPERFAMILY	SSF54423	IPR018950	Disulphide bond isomerase, DsbC/G, N-terminal	
2755609746	377	280	293	ProSitePatterns	PS01304	IPR018168	Ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6, conserved site	GO:0016709|GO:0055114
2755609746	377	3	148	SUPERFAMILY	SSF51905			
2755609746	377	262	375	SUPERFAMILY	SSF51905			
2755609747	285	122	281	ProSiteProfiles	PS51340	IPR005302	Molybdenum cofactor sulfurase, C-terminal	GO:0003824|GO:0030151|GO:0030170
2755609747	285	3	55	SUPERFAMILY	SSF50800	IPR011037	Pyruvate kinase-like, insert domain	
2755609747	285	155	237	SUPERFAMILY	SSF50800	IPR011037	Pyruvate kinase-like, insert domain	
2755609747	285	9	135	SUPERFAMILY	SSF141673			
2755609748	364	280	360	SUPERFAMILY	SSF81271	IPR012676	TGS-like	
2755609748	364	3	302	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2755609749	452	4	181	SUPERFAMILY	SSF103473	IPR016196	Major facilitator superfamily domain, general substrate transporter	
2755609749	452	245	440	SUPERFAMILY	SSF103473	IPR016196	Major facilitator superfamily domain, general substrate transporter	
2755609749	452	1	439	ProSiteProfiles	PS50850	IPR020846	Major facilitator superfamily domain	
2755609750	215	4	205	SUPERFAMILY	SSF56529	IPR011234	Fumarylacetoacetase, C-terminal-related	GO:0003824|GO:0008152
2755609751	332	196	315	SUPERFAMILY	SSF48179	IPR008927	6-phosphogluconate dehydrogenase, C-terminal-like	GO:0055114
2755609751	332	1	152	SUPERFAMILY	SSF51735			
2755609752	380	170	181	ProSitePatterns	PS00455	IPR020845	AMP-binding, conserved site	
2755609752	380	10	380	SUPERFAMILY	SSF56801			
2755609753	530	2	192	ProSiteProfiles	PS51462	IPR000086	NUDIX hydrolase domain	GO:0016787
2755609753	530	282	456	SMART	SM00849	IPR001279	Beta-lactamase-like	GO:0016787
2755609753	530	2	82	SUPERFAMILY	SSF55811	IPR015797	NUDIX hydrolase domain-like	GO:0016787
2755609753	530	119	191	SUPERFAMILY	SSF55811	IPR015797	NUDIX hydrolase domain-like	GO:0016787
2755609753	530	260	528	SUPERFAMILY	SSF56281			
2755609754	495	268	493	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
2755609754	495	294	478	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2755609754	495	1	234	ProSiteProfiles	PS50929	IPR011527	ABC transporter type 1, transmembrane domain	GO:0005524|GO:0006810|GO:0016021|GO:0042626|GO:0055085
2755609754	495	2	242	SUPERFAMILY	SSF90123	IPR011527	ABC transporter type 1, transmembrane domain	GO:0005524|GO:0006810|GO:0016021|GO:0042626|GO:0055085
2755609754	495	406	420	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
2755609754	495	263	473	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
