gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2755609746	377	123	375	8.7e-68	214.8	TIGR01988	Ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family
2755609748	364	1	364	0.0e+00	508	TIGR00092	GTP-binding protein YchF
2755609751	332	125	321	1.9e-32	98.7	TIGR00745	2-dehydropantoate 2-reductase
2755609760	148	2	143	1.9e-63	198.5	TIGR01088	3-dehydroquinate dehydratase, type II
2755609780	371	2	370	2.3e-111	358.9	TIGR00561	NAD(P) transhydrogenase, alpha subunit
2755609784	233	4	232	1.8e-47	147.8	TIGR01704	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
2755609785	340	13	339	6.3e-60	189.1	TIGR00383	magnesium Mg(2+) and cobalt Co(2+) transport protein (corA)
2755609788	158	18	158	2.8e-23	68.2	TIGR02293	putative toxin-antitoxin system antitoxin component, TIGR02293 family
2755609794	429	18	427	0.0e+00	496.5	TIGR01266	fumarylacetoacetase
2755609811	423	42	423	4.4e-88	282.2	TIGR04265	cardiolipin synthase
2755609819	514	9	512	0.0e+00	809.6	TIGR01124	threonine ammonia-lyase, biosynthetic, long form
2755609821	146	13	36	6.1e-12	32.3	TIGR02532	prepilin-type N-terminal cleavage/methylation domain
2755609821	146	14	146	7.3e-60	188	TIGR01710	type II secretion system protein G
2755609822	157	16	142	9.4e-22	64.6	TIGR01708	type II secretion system protein H
2755609822	157	19	41	2.2e-11	30.5	TIGR02532	prepilin-type N-terminal cleavage/methylation domain
2755609823	124	10	33	2.1e-11	30.5	TIGR02532	prepilin-type N-terminal cleavage/methylation domain
2755609823	124	12	112	3.9e-17	49.8	TIGR01707	type II secretion system protein I
2755609824	227	5	26	1.4e-08	21.6	TIGR02532	prepilin-type N-terminal cleavage/methylation domain
2755609826	400	8	396	3.3e-28	84.8	TIGR01709	type II secretion system protein L
2755609829	360	44	359	9.4e-76	241.4	TIGR02517	type II secretion system protein D
2755609835	384	23	374	5.4e-115	370.6	TIGR01263	4-hydroxyphenylpyruvate dioxygenase
2755609839	506	41	450	8.9e-84	267.9	TIGR00546	apolipoprotein N-acyltransferase
2755609840	301	2	290	0.0e+00	525	TIGR00388	glycyl-tRNA synthetase, tetrameric type, alpha subunit
2755609841	702	1	701	0.0e+00	643.6	TIGR00211	glycyl-tRNA synthetase, tetrameric type, beta subunit
2755609842	190	1	155	1.6e-31	97	TIGR00213	D,D-heptose 1,7-bisphosphate phosphatase
2755609842	190	2	147	1.1e-36	113.7	TIGR01662	HAD-superfamily hydrolase, subfamily IIIA
2755609842	190	2	148	1.3e-46	145.9	TIGR01656	histidinol-phosphate phosphatase family domain
2755609843	244	56	188	2.0e-29	88.1	TIGR00530	1-acyl-sn-glycerol-3-phosphate acyltransferases
2755609845	1127	542	626	2.0e-12	33.5	TIGR00229	PAS domain S-box
2755609848	153	25	144	5.3e-18	51.4	TIGR00369	uncharacterized domain 1
2755609852	393	7	391	3.3e-127	410.5	TIGR01930	acetyl-CoA acetyltransferases
2755609855	222	6	188	3.3e-18	53.4	TIGR01509	haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED
2755609872	163	8	156	5.0e-66	207.2	TIGR00581	molybdenum cofactor biosynthesis protein MoaC
2755609875	195	11	185	5.8e-65	204.4	TIGR03717	integral membrane protein, YjbE family
2755609879	459	12	459	9.6e-121	389.5	TIGR00928	adenylosuccinate lyase
2755609883	163	15	159	1.7e-59	186.9	TIGR02199	rfaE bifunctional protein, domain II
2755609883	163	27	95	6.9e-14	39.1	TIGR00125	cytidyltransferase-like domain
2755609885	1373	18	1361	0.0e+00	700.4	TIGR02099	TIGR02099 family protein
2755609887	676	295	423	5.4e-22	64.4	TIGR00229	PAS domain S-box
2755609893	234	2	234	8.5e-105	335.3	TIGR03410	urea ABC transporter, ATP-binding protein UrtE
2755609894	286	44	286	1.2e-119	384.4	TIGR03411	urea ABC transporter, ATP-binding protein UrtD
2755609895	376	52	366	0.0e+00	450.8	TIGR03408	urea ABC transporter, permease protein UrtC
2755609896	524	228	520	0.0e+00	426.2	TIGR03409	urea ABC transporter, permease protein UrtB
2755609897	426	32	407	0.0e+00	600	TIGR03407	urea ABC transporter, urea binding protein
2755609902	100	1	100	2.0e-56	174.7	TIGR00193	urease, gamma subunit
2755609904	101	1	101	1.9e-48	149.1	TIGR00192	urease, beta subunit
2755609905	576	7	576	0.0e+00	961	TIGR01792	urease, alpha subunit
2755609908	214	16	214	3.4e-102	326.4	TIGR00101	urease accessory protein UreG
2755609918	650	279	401	2.0e-14	40	TIGR00229	PAS domain S-box
2755609927	565	11	565	0.0e+00	931.4	TIGR01110	malonate decarboxylase, alpha subunit
2755609928	106	5	101	5.6e-40	121.5	TIGR03130	malonate decarboxylase acyl carrier protein
2755609929	314	18	287	2.1e-111	357.6	TIGR03133	biotin-independent malonate decarboxylase, beta subunit
2755609930	232	2	232	4.7e-71	225.3	TIGR03134	biotin-independent malonate decarboxylase, gamma subunit
2755609931	237	6	212	1.7e-51	161	TIGR03135	malonate decarboxylase holo-[acyl-carrier-protein] synthase
2755609932	320	47	318	1.8e-92	295.7	TIGR03132	triphosphoribosyl-dephospho-CoA synthase MdcB
2755609961	428	8	406	0.0e+00	671.6	TIGR04046	flavin-dependent oxidoreductase, MSMEG_0569 family
2755609962	93	2	89	3.5e-38	115.9	TIGR04042	MSMEG_0570 family protein
2755609963	402	10	387	0.0e+00	483.6	TIGR04047	glycosyltransferase, MSMEG_0565 family
2755609964	339	6	327	0.0e+00	470	TIGR04049	AIR synthase-related protein, sll0787 family
2755609965	190	18	174	3.7e-73	230.2	TIGR04045	putative N-acetyltransferase, MSMEG_0567 N-terminal domain family
2755609966	359	2	358	0.0e+00	591.9	TIGR04043	radical SAM protein, MSMEG_0568 family
2755609967	349	5	305	0.0e+00	579.1	TIGR04048	putative nitrilase, sll0784 family
2755609968	160	2	160	7.3e-89	281.7	TIGR04044	MSMEG_0572 family protein
2755609972	250	2	225	6.4e-98	312.5	TIGR01011	ribosomal protein S2, bacterial type
2755609973	297	1	292	2.8e-88	281.8	TIGR00116	translation elongation factor Ts
2755609974	240	8	239	4.0e-103	330	TIGR02075	uridylate kinase
2755609975	187	12	187	3.3e-71	224.6	TIGR00496	ribosome recycling factor
2755609976	243	9	229	3.2e-84	267.9	TIGR00055	undecaprenyl diphosphate synthase
2755609978	399	5	398	0.0e+00	486.8	TIGR00243	1-deoxy-D-xylulose 5-phosphate reductoisomerase
2755609979	455	1	455	5.8e-100	321	TIGR00054	RIP metalloprotease RseP
2755609980	764	31	764	0.0e+00	845.6	TIGR03303	outer membrane protein assembly complex, YaeT protein
2755609982	322	7	315	2.0e-102	328.4	TIGR01853	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD
2755609983	146	2	142	4.8e-63	197.3	TIGR01750	beta-hydroxyacyl-[acyl carrier protein] dehydratase FabZ
2755609984	262	4	261	3.5e-103	330.3	TIGR01852	acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
2755609985	376	2	372	1.5e-95	306.2	TIGR00215	lipid-A-disaccharide synthase
2755609988	387	12	386	0.0e+00	481.1	TIGR01368	carbamoyl-phosphate synthase, small subunit
2755609989	1084	2	1064	0.0e+00	1529.6	TIGR01369	carbamoyl-phosphate synthase, large subunit
2755609991	158	5	156	1.8e-59	186.2	TIGR01462	transcription elongation factor GreA
2755609993	157	6	116	1.1e-24	73.1	TIGR00253	putative RNA-binding protein, YhbY family
2755609994	219	20	215	8.4e-62	194.1	TIGR00438	cell division protein FtsJ
2755609995	635	107	601	0.0e+00	792.6	TIGR01241	ATP-dependent metalloprotease FtsH
2755609997	286	17	273	6.7e-93	297	TIGR01496	dihydropteroate synthase
2755609998	444	6	443	0.0e+00	582.4	TIGR01455	phosphoglucosamine mutase
2755609999	697	15	687	0.0e+00	871.9	TIGR03705	polyphosphate kinase 1
2755610000	153	1	150	3.2e-25	74.9	TIGR00249	phosphohistidine phosphatase SixA
2755610001	515	26	322	1.8e-96	308.9	TIGR03706	exopolyphosphatase
2755610004	343	25	333	2.6e-128	413.5	TIGR00975	phosphate ABC transporter, phosphate-binding protein
2755610005	320	16	313	1.1e-96	309.4	TIGR02138	phosphate ABC transporter, permease protein PstC
2755610006	299	33	299	1.4e-85	272.7	TIGR00974	phosphate ABC transporter, permease protein PstA
2755610007	257	10	257	4.6e-124	398.6	TIGR00972	phosphate ABC transporter, ATP-binding protein
2755610008	234	8	221	1.9e-68	216.3	TIGR02135	phosphate transport system regulatory protein PhoU
