unique_gene_callers_id	ko_id
Ramli-TTB310.1059
Ramli-TTB310.2157
Ramli-TTB310.549
Ramli-TTB310.3706
Ramli-TTB310.338	K02358
Ramli-TTB310.3695	K02358
Ramli-TTB310.3730	K02518
Ramli-TTB310.2845	K02518
Ramli-TTB310.492	K02518
Ramli-TTB310.3283
Ramli-TTB310.3183
Ramli-TTB310.3412
Ramli-TTB310.3931
Ramli-TTB310.491
Ramli-TTB310.3932
Ramli-TTB310.542	K02028
Ramli-TTB310.976	K10004
Ramli-TTB310.3259	K01996
Ramli-TTB310.1910	K01996
Ramli-TTB310.1877	K00252
Ramli-TTB310.508	K00252
Ramli-TTB310.3184
Ramli-TTB310.2972
Ramli-TTB310.594
Ramli-TTB310.1358
Ramli-TTB310.1359
Ramli-TTB310.2010
Ramli-TTB310.1278
Ramli-TTB310.2077	K20034
Ramli-TTB310.3907	K00029
Ramli-TTB310.933	K01685
Ramli-TTB310.3454	K01685
Ramli-TTB310.2489
Ramli-TTB310.697
Ramli-TTB310.3855	K02650
Ramli-TTB310.537	K00163
Ramli-TTB310.1928	K00163
Ramli-TTB310.2368	K00053
Ramli-TTB310.2376	K04751
Ramli-TTB310.151	K04752
Ramli-TTB310.371	K02110
Ramli-TTB310.2865	K02110
Ramli-TTB310.566
Ramli-TTB310.221	K01897
Ramli-TTB310.2542
Ramli-TTB310.3494
Ramli-TTB310.3230	K05816
Ramli-TTB310.251	K03549
Ramli-TTB310.2766	K03549
Ramli-TTB310.1401	K18138
Ramli-TTB310.3349	K00179
Ramli-TTB310.1440	K00179
Ramli-TTB310.1204
Ramli-TTB310.3292
Ramli-TTB310.1668	K08738
Ramli-TTB310.1028	K01626
Ramli-TTB310.3938	K11719
Ramli-TTB310.2065	K00046
Ramli-TTB310.1168	K07302
Ramli-TTB310.40	K21929
Ramli-TTB310.312	K00140
Ramli-TTB310.2904	K01703
Ramli-TTB310.1604	K01703
Ramli-TTB310.2253	K03704
Ramli-TTB310.1192	K21393
Ramli-TTB310.1135	K13529
Ramli-TTB310.2968	K02483
Ramli-TTB310.3600
Ramli-TTB310.1850	K16165
Ramli-TTB310.701	K01179
Ramli-TTB310.283
Ramli-TTB310.2239
Ramli-TTB310.2068	K00626
Ramli-TTB310.306
Ramli-TTB310.2303	K15512
Ramli-TTB310.1119	K01991
Ramli-TTB310.2978	K19591
Ramli-TTB310.1344	K06889
Ramli-TTB310.1719	K00249
Ramli-TTB310.1471
Ramli-TTB310.3628	K18902
Ramli-TTB310.3103
Ramli-TTB310.714	K01840
Ramli-TTB310.1136	K01840
Ramli-TTB310.3560
Ramli-TTB310.887
Ramli-TTB310.3548	K01912
Ramli-TTB310.1126
Ramli-TTB310.1128
Ramli-TTB310.1748
Ramli-TTB310.1041	K01999
Ramli-TTB310.3821	K04090
Ramli-TTB310.3502
Ramli-TTB310.1592	K03768
Ramli-TTB310.1089	K09699
Ramli-TTB310.3443
Ramli-TTB310.356
Ramli-TTB310.111	K01070
Ramli-TTB310.107	K01070
Ramli-TTB310.112	K01070
Ramli-TTB310.1279
Ramli-TTB310.612
Ramli-TTB310.3393	K01429
Ramli-TTB310.2765	K07667
Ramli-TTB310.311	K00108
Ramli-TTB310.2538	K07107
Ramli-TTB310.1925	K01491
Ramli-TTB310.3874	K03169
Ramli-TTB310.1563	K15977
Ramli-TTB310.2859
Ramli-TTB310.3447
