gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2727790669	243	67.83	7	236	9	236	8.3e-112	365	KO:K03981	thiol:disulfide interchange protein DsbC [EC:5.3.4.1]	EC:5.3.4.1	Yes
2727790671	285	71.99	4	284	10	289	0.0e+00	459	KO:K07140	uncharacterized protein		Yes
2727790672	364	86.46	3	364	1	362	0.0e+00	723	KO:K06942	ribosome-binding ATPase		Yes
2727790673	452	60.67	1	445	27	426	0.0e+00	593	KO:K08177	MFS transporter, OFA family, oxalate/formate antiporter		Yes
2727790675	332	58.98	1	331	1	333	0.0e+00	433	KO:K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169]	EC:1.1.1.169	Yes
2727790680	357	34.9	2	357	43	403	7.6e-68	248	KO:K13408	membrane fusion protein		Yes
2727790683	548	79.64	1	546	1	544	0.0e+00	1000	KO:K07137	uncharacterized protein		Yes
2727790684	148	72.79	2	148	3	149	1.9e-73	246	KO:K03786	3-dehydroquinate dehydratase II [EC:4.2.1.10]	EC:4.2.1.10	Yes
2727790688	516	60.04	5	515	10	519	0.0e+00	721	KO:K05712	3-(3-hydroxy-phenyl)propionate hydroxylase [EC:1.14.13.127]	EC:1.14.13.127	Yes
2727790691	347	69	12	340	10	338	0.0e+00	541	KO:K03392	aminocarboxymuconate-semialdehyde decarboxylase [EC:4.1.1.45]	EC:4.1.1.45	Yes
2727790698	274	66.25	30	269	22	261	1.7e-110	364	KO:K03561	biopolymer transport protein ExbB		Yes
2727790699	141	58.4	17	140	14	138	1.4e-47	173	KO:K03559	biopolymer transport protein ExbD		Yes
2727790700	141	54.35	2	139	3	140	3.3e-50	180	KO:K03559	biopolymer transport protein ExbD		Yes
2727790703	381	64.1	1	376	1	376	0.0e+00	542	KO:K07098	uncharacterized protein		Yes
2727790704	371	89.76	1	371	1	371	0.0e+00	736	KO:K00324	NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2]	EC:1.6.1.2	Yes
2727790705	102	89	1	100	1	100	4.9e-59	201	KO:K00324	NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2]	EC:1.6.1.2	Yes
2727790706	474	87.58	1	474	1	475	0.0e+00	916	KO:K00325	NAD(P) transhydrogenase subunit beta [EC:1.6.1.2]	EC:1.6.1.2	Yes
2727790707	564	79.2	7	558	4	556	0.0e+00	1040	KO:K01897	long-chain acyl-CoA synthetase [EC:6.2.1.3]	EC:6.2.1.3	Yes
2727790708	233	75.46	18	233	1	216	2.2e-113	369	KO:K01243	adenosylhomocysteine nucleosidase [EC:3.2.2.9]	EC:3.2.2.9	Yes
2727790709	329	84.24	1	329	1	328	0.0e+00	612	KO:K03284	magnesium transporter		Yes
2727790717	429	68.15	3	429	2	428	0.0e+00	682	KO:K01555	fumarylacetoacetase [EC:3.7.1.2]	EC:3.7.1.2	Yes
