gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2727790668	585	42.4	9	562	1	524	4.0e-119	422	COG3975	Predicted metalloprotease, contains C-terminal PDZ domain	558
2727790669	243	20.42	3	236	9	242	9.0e-14	70.6	COG1651	Protein-disulfide isomerase	244
2727790670	377	32.09	1	375	1	384	2.0e-44	173	COG0654	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	387
2727790671	285	35.87	8	281	3	262	1.0e-40	160	COG3217	Uncharacterized conserved protein YcbX, contains MOSC and Fe-S domains	270
2727790672	364	61.83	1	364	1	372	0.0e+00	510	COG0012	Ribosome-binding ATPase YchF, GTP1/OBG family	372
2727790674	215	40.98	4	203	59	260	2.0e-49	189	COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	266
2727790675	332	30.38	1	313	1	295	4.0e-54	205	COG1893	Ketopantoate reductase	307
2727790676	380	31.96	1	380	7	389	6.0e-59	221	COG0318	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	534
2727790677	530	29.96	275	493	17	247	8.0e-19	88.8	COG0491	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	252
2727790680	357	22.28	1	357	26	338	1.0e-13	71.1	COG1566	Multidrug resistance efflux pump	352
2727790683	548	40.7	6	543	2	480	0.0e+00	483	COG2509	Uncharacterized FAD-dependent dehydrogenase	486
2727790684	148	60.99	1	141	1	140	5.0e-57	213	COG0757	3-dehydroquinate dehydratase	146
2727790686	141	39.42	1	137	5	138	1.0e-21	95.3	COG3193	Uncharacterized conserved protein GlcG, DUF336 family	141
2727790687	324	34.18	6	321	4	317	7.0e-53	201	COG3181	Tripartite-type tricarboxylate transporter, receptor component TctC	319
2727790688	516	26.8	6	399	3	386	6.0e-41	162	COG0654	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	387
2727790689	288	39.72	10	287	1	266	7.0e-65	240	COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	266
2727790690	299	22.22	12	186	14	214	1.0e-05	43.8	COG2514	Catechol-2,3-dioxygenase	265
2727790691	347	22.16	11	343	6	293	1.0e-16	81.2	COG2159	Predicted metal-dependent hydrolase, TIM-barrel fold	293
2727790692	317	22.41	15	313	1	297	1.0e-25	110	COG0583	DNA-binding transcriptional regulator, LysR family	297
2727790693	944	32.84	187	525	12	336	2.0e-42	168	COG0642	Signal transduction histidine kinase	336
2727790694	170	34.19	23	169	29	174	8.0e-10	56.9	COG5430	Spore coat protein U (SCPU) domain, function unknown	174
2727790698	274	33.49	60	262	1	209	2.0e-28	119	COG0811	Biopolymer transport protein ExbB/TolQ	216
2727790699	141	40.32	17	140	12	135	3.0e-26	110	COG0848	Biopolymer transport protein ExbD	137
2727790700	141	33.07	11	137	10	135	4.0e-23	100	COG0848	Biopolymer transport protein ExbD	137
2727790703	381	34.5	136	377	28	282	3.0e-32	132	COG1408	Predicted phosphohydrolase, MPP superfamily	284
2727790704	371	54.1	3	367	2	356	2.0e-110	392	COG3288	NAD/NADP transhydrogenase alpha subunit	356
2727790706	474	73	1	473	1	463	0.0e+00	614	COG1282	NAD/NADP transhydrogenase beta subunit	463
2727790707	564	35.33	17	558	1	522	2.0e-129	456	COG0318	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	534
2727790708	233	37	7	232	7	231	5.0e-44	170	COG0775	Nucleoside phosphorylase	234
2727790709	329	27.54	1	328	4	322	2.0e-49	190	COG0598	Mg2+ and Co2+ transporter CorA	322
2727790712	158	29.23	31	158	29	149	4.0e-10	57.8	COG5642	Uncharacterized conserved protein, DUF2384 family	149
2727790713	160	34.81	6	139	12	142	2.0e-15	75.4	COG5654	Uncharacterized conserved protein, contains RES domain	163
2727790717	429	24.15	65	384	6	259	5.0e-26	112	COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	266
