gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
2727790668	585	190	454	SUPERFAMILY	SSF55486			
2727790669	243	82	233	SUPERFAMILY	SSF52833	IPR012336	Thioredoxin-like fold	
2727790669	243	39	83	SUPERFAMILY	SSF54423	IPR018950	Disulphide bond isomerase, DsbC/G, N-terminal	
2727790670	377	280	293	ProSitePatterns	PS01304	IPR018168	Ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6, conserved site	GO:0016709|GO:0055114
2727790670	377	3	148	SUPERFAMILY	SSF51905			
2727790670	377	262	375	SUPERFAMILY	SSF51905			
2727790671	285	122	281	ProSiteProfiles	PS51340	IPR005302	Molybdenum cofactor sulfurase, C-terminal	GO:0003824|GO:0030151|GO:0030170
2727790671	285	3	55	SUPERFAMILY	SSF50800	IPR011037	Pyruvate kinase-like, insert domain	
2727790671	285	155	237	SUPERFAMILY	SSF50800	IPR011037	Pyruvate kinase-like, insert domain	
2727790671	285	9	135	SUPERFAMILY	SSF141673			
2727790672	364	280	360	SUPERFAMILY	SSF81271	IPR012676	TGS-like	
2727790672	364	3	302	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2727790673	452	4	181	SUPERFAMILY	SSF103473	IPR016196	Major facilitator superfamily domain, general substrate transporter	
2727790673	452	245	440	SUPERFAMILY	SSF103473	IPR016196	Major facilitator superfamily domain, general substrate transporter	
2727790673	452	1	439	ProSiteProfiles	PS50850	IPR020846	Major facilitator superfamily domain	
2727790674	215	4	205	SUPERFAMILY	SSF56529	IPR011234	Fumarylacetoacetase, C-terminal-related	GO:0003824|GO:0008152
2727790675	332	196	315	SUPERFAMILY	SSF48179	IPR008927	6-phosphogluconate dehydrogenase, C-terminal-like	GO:0055114
2727790675	332	1	152	SUPERFAMILY	SSF51735			
2727790676	380	170	181	ProSitePatterns	PS00455	IPR020845	AMP-binding, conserved site	
2727790676	380	10	380	SUPERFAMILY	SSF56801			
2727790677	530	2	192	ProSiteProfiles	PS51462	IPR000086	NUDIX hydrolase domain	GO:0016787
2727790677	530	282	456	SMART	SM00849	IPR001279	Beta-lactamase-like	GO:0016787
2727790677	530	2	82	SUPERFAMILY	SSF55811	IPR015797	NUDIX hydrolase domain-like	GO:0016787
2727790677	530	119	191	SUPERFAMILY	SSF55811	IPR015797	NUDIX hydrolase domain-like	GO:0016787
2727790677	530	260	528	SUPERFAMILY	SSF56281			
2727790678	495	268	493	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
2727790678	495	294	478	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2727790678	495	1	234	ProSiteProfiles	PS50929	IPR011527	ABC transporter type 1, transmembrane domain	GO:0005524|GO:0006810|GO:0016021|GO:0042626|GO:0055085
2727790678	495	2	242	SUPERFAMILY	SSF90123	IPR011527	ABC transporter type 1, transmembrane domain	GO:0005524|GO:0006810|GO:0016021|GO:0042626|GO:0055085
2727790678	495	406	420	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
2727790678	495	263	473	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2727790679	210	20	139	ProSiteProfiles	PS50990	IPR005074	Peptidase C39, bacteriocin processing	GO:0005524|GO:0006508|GO:0008233|GO:0016021
2727790680	357	29	70	SUPERFAMILY	SSF51230	IPR011053	Single hybrid motif	
2727790683	548	110	322	SUPERFAMILY	SSF51905			
2727790683	548	493	547	SUPERFAMILY	SSF51905			
2727790684	148	1	141	SUPERFAMILY	SSF52304	IPR001874	Dehydroquinase, class II	GO:0003855
2727790684	148	6	23	ProSitePatterns	PS01029	IPR018509	Dehydroquinase, class II, conserved site	GO:0003855
2727790686	141	2	136	SUPERFAMILY	SSF143744			
2727790687	324	111	282	SUPERFAMILY	SSF53850			
2727790688	516	6	179	SUPERFAMILY	SSF51905			
2727790688	516	269	374	SUPERFAMILY	SSF51905			
2727790689	288	66	285	SUPERFAMILY	SSF56529	IPR011234	Fumarylacetoacetase, C-terminal-related	GO:0003824|GO:0008152
2727790690	299	5	258	SUPERFAMILY	SSF54593			
2727790691	347	14	340	SUPERFAMILY	SSF51556			
2727790692	317	15	72	ProSiteProfiles	PS50931	IPR000847	Transcription regulator HTH, LysR	GO:0003700|GO:0006355
2727790692	317	13	89	SUPERFAMILY	SSF46785			
2727790692	317	99	305	SUPERFAMILY	SSF53850			
2727790693	944	539	657	SMART	SM00448	IPR001789	Signal transduction response regulator, receiver domain	GO:0000156|GO:0000160
2727790693	944	540	661	ProSiteProfiles	PS50110	IPR001789	Signal transduction response regulator, receiver domain	GO:0000156|GO:0000160
2727790693	944	688	801	SMART	SM00448	IPR001789	Signal transduction response regulator, receiver domain	GO:0000156|GO:0000160
2727790693	944	689	805	ProSiteProfiles	PS50110	IPR001789	Signal transduction response regulator, receiver domain	GO:0000156|GO:0000160
2727790693	944	346	515	SUPERFAMILY	SSF55874	IPR003594	Histidine kinase-like ATPase, ATP-binding domain	GO:0005524
2727790693	944	404	520	SMART	SM00387	IPR003594	Histidine kinase-like ATPase, ATP-binding domain	GO:0005524
2727790693	944	292	357	SMART	SM00388	IPR003661	Signal transduction histidine kinase EnvZ-like, dimerisation/phosphoacceptor domain	GO:0000155|GO:0007165|GO:0016020
2727790693	944	299	520	ProSiteProfiles	PS50109	IPR005467	Signal transduction histidine kinase, core	
2727790693	944	784	797	SUPERFAMILY	SSF47226	IPR008207	Signal transduction histidine kinase, phosphotransfer (Hpt) domain	GO:0000160|GO:0004871
2727790693	944	835	927	SUPERFAMILY	SSF47226	IPR008207	Signal transduction histidine kinase, phosphotransfer (Hpt) domain	GO:0000160|GO:0004871
2727790693	944	849	944	ProSiteProfiles	PS50894	IPR008207	Signal transduction histidine kinase, phosphotransfer (Hpt) domain	GO:0000160|GO:0004871
2727790693	944	277	357	SUPERFAMILY	SSF47384	IPR009082	Signal transduction histidine kinase, homodimeric domain	GO:0004871|GO:0007165
2727790693	944	540	666	SUPERFAMILY	SSF52172	IPR011006	CheY-like superfamily	
2727790693	944	686	809	SUPERFAMILY	SSF52172	IPR011006	CheY-like superfamily	
2727790694	170	101	166	SMART	SM00972	IPR007893	Spore coat protein U	
2727790694	170	1	23	ProSiteProfiles	PS51257			
2727790697	166	4	137	ProSiteProfiles	PS51462	IPR000086	NUDIX hydrolase domain	GO:0016787
2727790697	166	4	146	SUPERFAMILY	SSF55811	IPR015797	NUDIX hydrolase domain-like	GO:0016787
2727790703	381	153	376	SUPERFAMILY	SSF56300			
2727790704	371	145	314	SMART	SM01002	IPR007698	Alanine dehydrogenase/PNT, NAD(H)-binding domain	
2727790704	371	4	136	SMART	SM01003	IPR007886	Alanine dehydrogenase/pyridine nucleotide transhydrogenase, N-terminal	
2727790704	371	1	167	SUPERFAMILY	SSF52283			
2727790704	371	136	319	SUPERFAMILY	SSF51735			
2727790706	474	302	474	SUPERFAMILY	SSF52467			
2727790707	564	214	225	ProSitePatterns	PS00455	IPR020845	AMP-binding, conserved site	
2727790707	564	25	560	SUPERFAMILY	SSF56801			
2727790708	233	5	227	SUPERFAMILY	SSF53167			
2727790709	329	1	266	SUPERFAMILY	SSF143865			
2727790709	329	263	325	SUPERFAMILY	SSF144083			
2727790710	161	19	149	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2727790713	160	21	148	SMART	SM00953	IPR014914	RES	
2727790717	429	121	426	SUPERFAMILY	SSF56529	IPR011234	Fumarylacetoacetase, C-terminal-related	GO:0003824|GO:0008152
2727790717	429	17	119	SUPERFAMILY	SSF63433	IPR015377	Fumarylacetoacetase, N-terminal	GO:0004334|GO:0009072
2727790718	178	115	134	ProSitePatterns	PS00082	IPR000486	Extradiol ring-cleavage dioxygenase, class I /II	GO:0003824|GO:0006725|GO:0008198|GO:0055114
2727790718	178	4	138	SUPERFAMILY	SSF54593			
2727790720	327	1	21	ProSiteProfiles	PS51257			
2727790720	327	116	285	SUPERFAMILY	SSF53850			
2727790721	317	1	58	ProSiteProfiles	PS50931	IPR000847	Transcription regulator HTH, LysR	GO:0003700|GO:0006355
2727790721	317	1	79	SUPERFAMILY	SSF46785			
2727790721	317	96	284	SUPERFAMILY	SSF53850			
2727790722	529	2	107	SUPERFAMILY	SSF53649	IPR017850	Alkaline-phosphatase-like, core domain	GO:0003824|GO:0008152
2727790722	529	154	518	SUPERFAMILY	SSF53649	IPR017850	Alkaline-phosphatase-like, core domain	GO:0003824|GO:0008152
2727790724	73	4	46	SUPERFAMILY	SSF48295	IPR010921	Trp repressor/replication initiator	GO:0043565
2727790725	374	9	147	SUPERFAMILY	SSF50022	IPR017941	Rieske [2Fe-2S] iron-sulphur domain	GO:0016491|GO:0051537|GO:0055114
2727790725	374	39	148	ProSiteProfiles	PS51296	IPR017941	Rieske [2Fe-2S] iron-sulphur domain	GO:0016491|GO:0051537|GO:0055114
2727790725	374	153	372	SUPERFAMILY	SSF55961			
2727790726	300	195	283	SUPERFAMILY	SSF103481			
2727790727	297	275	285	ProSitePatterns	PS00683	IPR001307	Thiosulphate sulfurtransferase, conserved site	GO:0004792
2727790727	297	2	154	SUPERFAMILY	SSF52821	IPR001763	Rhodanese-like domain	
2727790727	297	7	146	SMART	SM00450	IPR001763	Rhodanese-like domain	
2727790727	297	17	149	ProSiteProfiles	PS50206	IPR001763	Rhodanese-like domain	
2727790727	297	171	291	SMART	SM00450	IPR001763	Rhodanese-like domain	
2727790727	297	174	296	SUPERFAMILY	SSF52821	IPR001763	Rhodanese-like domain	
2727790727	297	181	294	ProSiteProfiles	PS50206	IPR001763	Rhodanese-like domain	
2727790728	129	1	19	ProSiteProfiles	PS51257			
2727790729	108	1	24	ProSiteProfiles	PS51257			
2727790731	278	53	265	SUPERFAMILY	SSF53474			
2727790733	423	159	186	ProSiteProfiles	PS50035	IPR001736	Phospholipase D/Transphosphatidylase	GO:0003824|GO:0008152
