gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2727813503	333	2	324	9.8e-73	230.9	TIGR00724	biotin-dependent carboxylase uncharacterized domain
2727813507	231	3	231	1.0e-60	192.6	TIGR02254	noncanonical pyrimidine nucleotidase, YjjG family
2727813507	231	84	200	5.2e-13	37.3	TIGR01549	haloacid dehalogenase superfamily, subfamily IA, variant 1 with third motif having Dx(3-4)D or Dx(3-4)E
2727813509	219	3	218	2.4e-52	163.3	TIGR00164	phosphatidylserine decarboxylase precursor-related protein
2727813518	482	45	433	5.8e-80	255.1	TIGR01891	amidohydrolase
2727813519	507	4	504	0.0e+00	608.9	TIGR00499	lysyl-tRNA synthetase, eukaryotic and non-spirochete bacterial
2727813521	335	22	328	3.3e-121	390.2	TIGR00550	quinolinate synthetase complex, A subunit
2727813526	182	60	110	2.1e-15	43.2	TIGR00778	alkylhydroperoxidase AhpD family core domain
2727813526	182	7	171	2.0e-20	60.4	TIGR01926	uncharacterized peroxidase-related enzyme
2727813530	185	2	185	6.3e-55	172.9	TIGR02943	RNA polymerase sigma-70 factor, TIGR02943 family
2727813530	185	5	178	1.6e-30	93	TIGR02937	RNA polymerase sigma factor, sigma-70 family
2727813535	945	5	945	0.0e+00	964.5	TIGR00593	DNA polymerase I
2727813536	129	5	122	4.6e-47	145.4	TIGR04256	GxxExxY protein
2727813545	438	4	438	0.0e+00	507.2	TIGR00908	ethanolamine permease
2727813547	263	14	254	5.5e-43	133.2	TIGR00121	birA, biotin-[acetyl-CoA-carboxylase] ligase region
2727813548	133	24	124	1.8e-36	110.6	TIGR00090	ribosome silencing factor RsfS/YbeB/iojap
2727813549	695	157	651	0.0e+00	734.6	TIGR01241	ATP-dependent metalloprotease FtsH
2727813558	115	2	109	4.2e-41	126.3	TIGR03515	gliding motility-associated protein GldC
2727813565	257	9	245	2.3e-67	212.4	TIGR00370	sensor histidine kinase inhibitor, KipI family
2727813568	280	4	280	5.9e-78	248	TIGR00116	translation elongation factor Ts
2727813569	295	5	229	1.2e-94	301.8	TIGR01011	ribosomal protein S2, bacterial type
2727813571	147	7	147	2.3e-62	195.1	TIGR01066	ribosomal protein L13, bacterial type
2727813574	246	4	244	2.6e-25	75.2	TIGR00613	DNA repair protein RecO
2727813575	342	39	340	6.5e-97	310.6	TIGR00468	phenylalanyl-tRNA synthetase, alpha subunit
2727813577	434	1	433	0.0e+00	449.9	TIGR01072	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
2727813579	501	2	211	2.5e-41	128.6	TIGR00197	yjeF N-terminal region
2727813579	501	222	490	3.2e-62	197.4	TIGR00196	yjeF C-terminal region, hydroxyethylthiazole kinase-related
2727813580	284	97	284	2.4e-47	147	TIGR00639	phosphoribosylglycinamide formyltransferase, formyltetrahydrofolate-dependent
2727813582	1035	4	51	2.4e-18	52.2	TIGR04519	MoCo/4Fe-4S cofactor protein extended Tat translocation domain
2727813589	298	15	296	1.5e-72	230.7	TIGR01473	protoheme IX farnesyltransferase
2727813598	234	22	211	2.2e-34	104.6	TIGR00091	tRNA (guanine-N(7)-)-methyltransferase
2727813610	744	475	539	1.3e-13	37	TIGR00426	competence protein ComEA helix-hairpin-helix repeat region
2727813611	438	1	194	6.4e-32	96.8	TIGR00573	exonuclease, DNA polymerase III, epsilon subunit family
