gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
2727794515	96	1	90	SMART	SM00411	IPR000119	Histone-like bacterial DNA-binding protein	GO:0003677
2727794515	96	1	90	SUPERFAMILY	SSF47729	IPR010992	Integration host factor (IHF)-like DNA-binding domain	GO:0003677
2727794516	47	3	45	SUPERFAMILY	SSF48150	IPR011257	DNA glycosylase	GO:0003824|GO:0006281
2727794517	155	19	45	ProSitePatterns	PS00052	IPR020606	Ribosomal protein S7, conserved site	GO:0003723|GO:0003735|GO:0006412
2727794517	155	5	148	SUPERFAMILY	SSF47973	IPR023798	Ribosomal protein S7 domain	
2727794518	126	43	50	ProSitePatterns	PS00055	IPR006032	Ribosomal protein S12/S23	GO:0003735|GO:0005622|GO:0005840|GO:0006412
2727794518	126	2	123	SUPERFAMILY	SSF50249	IPR012340	Nucleic acid-binding, OB-fold	
2727794519	2662	250	350	ProSiteProfiles	PS50853	IPR003961	Fibronectin, type III	GO:0005515
2727794519	2662	253	370	SUPERFAMILY	SSF49265	IPR003961	Fibronectin, type III	GO:0005515
2727794520	354	11	351	SUPERFAMILY	SSF56752	IPR001544	Aminotransferase, class IV	GO:0003824|GO:0008152
2727794520	354	231	261	ProSitePatterns	PS00770	IPR018300	Aminotransferase, class IV, conserved site	GO:0003824|GO:0008152
2727794522	183	13	180	ProSiteProfiles	PS51186	IPR000182	GNAT domain	GO:0008080
2727794522	183	5	177	SUPERFAMILY	SSF55729	IPR016181	Acyl-CoA N-acyltransferase	
2727794523	169	1	166	SUPERFAMILY	SSF55874	IPR003594	Histidine kinase-like ATPase, ATP-binding domain	GO:0005524
2727794523	169	44	169	SMART	SM00387	IPR003594	Histidine kinase-like ATPase, ATP-binding domain	GO:0005524
2727794523	169	1	169	ProSiteProfiles	PS50109	IPR005467	Signal transduction histidine kinase, core	
2727794524	2515	2336	2515	SUPERFAMILY	SSF55874	IPR003594	Histidine kinase-like ATPase, ATP-binding domain	GO:0005524
2727794524	2515	2391	2515	SMART	SM00387	IPR003594	Histidine kinase-like ATPase, ATP-binding domain	GO:0005524
2727794524	2515	2263	2345	SMART	SM00388	IPR003661	Signal transduction histidine kinase EnvZ-like, dimerisation/phosphoacceptor domain	GO:0000155|GO:0007165|GO:0016020
2727794524	2515	2270	2515	ProSiteProfiles	PS50109	IPR005467	Signal transduction histidine kinase, core	
2727794524	2515	2248	2346	SUPERFAMILY	SSF47384	IPR009082	Signal transduction histidine kinase, homodimeric domain	GO:0004871|GO:0007165
2727794524	2515	29	132	SUPERFAMILY	SSF54427			
2727794525	153	2	121	SUPERFAMILY	SSF143422	IPR002686	Transposase IS200-like	GO:0003677|GO:0004803|GO:0006313
2727794526	89	32	84	SUPERFAMILY	SSF55874	IPR003594	Histidine kinase-like ATPase, ATP-binding domain	GO:0005524
2727794527	729	562	728	SUPERFAMILY	SSF55874	IPR003594	Histidine kinase-like ATPase, ATP-binding domain	GO:0005524
2727794527	729	607	729	SMART	SM00387	IPR003594	Histidine kinase-like ATPase, ATP-binding domain	GO:0005524
2727794527	729	479	561	SMART	SM00388	IPR003661	Signal transduction histidine kinase EnvZ-like, dimerisation/phosphoacceptor domain	GO:0000155|GO:0007165|GO:0016020
2727794527	729	486	729	ProSiteProfiles	PS50109	IPR005467	Signal transduction histidine kinase, core	
2727794527	729	474	562	SUPERFAMILY	SSF47384	IPR009082	Signal transduction histidine kinase, homodimeric domain	GO:0004871|GO:0007165
2727794528	48	2	46	SUPERFAMILY	SSF54814	IPR009019	K homology domain, prokaryotic type	GO:0003723
2727794529	114	1	113	SUPERFAMILY	SSF54843	IPR001063	Ribosomal protein L22/L17	GO:0003735|GO:0005840|GO:0006412
2727794530	89	54	78	ProSitePatterns	PS00323	IPR020934	Ribosomal protein S19 conserved site	GO:0003723
2727794530	89	3	85	SUPERFAMILY	SSF54570	IPR023575	Ribosomal protein S19, superfamily	GO:0003735|GO:0005840|GO:0006412
2727794531	279	126	271	SUPERFAMILY	SSF50104	IPR008991	Translation protein SH3-like domain	
2727794531	279	2	122	SUPERFAMILY	SSF50249	IPR012340	Nucleic acid-binding, OB-fold	
2727794531	279	218	229	ProSitePatterns	PS00467	IPR022671	Ribosomal protein L2, conserved site	GO:0003735|GO:0005840|GO:0006412
2727794532	99	3	98	SUPERFAMILY	SSF54189	IPR012678	Ribosomal protein L23/L15e core domain	GO:0003735|GO:0005622|GO:0005840|GO:0006412
