gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2727794515	96	88.89	1	90	1	90	1.3e-54	188	KO:K03530	DNA-binding protein HU-beta		Yes
2727794517	155	86.45	1	155	1	155	2.4e-98	318	KO:K02992	small subunit ribosomal protein S7		Yes
2727794518	126	98.41	1	126	1	126	2.9e-87	283	KO:K02950	small subunit ribosomal protein S12		Yes
2727794520	354	72.88	1	354	1	354	0.0e+00	622	KO:K00826	branched-chain amino acid aminotransferase [EC:2.6.1.42]	EC:2.6.1.42	Yes
2727794529	114	81.42	1	113	1	113	9.6e-63	212	KO:K02890	large subunit ribosomal protein L22		Yes
2727794530	89	85.39	1	89	1	89	1.2e-53	185	KO:K02965	small subunit ribosomal protein S19		Yes
2727794531	279	84.23	1	279	1	279	0.0e+00	553	KO:K02886	large subunit ribosomal protein L2		Yes
2727794532	99	75.76	1	99	1	99	3.3e-49	173	KO:K02892	large subunit ribosomal protein L23		Yes
2727794533	211	76.44	1	206	1	208	2.6e-114	369	KO:K02926	large subunit ribosomal protein L4		Yes
2727794534	205	78.54	1	205	1	205	3.5e-118	379	KO:K02906	large subunit ribosomal protein L3		Yes
2727794535	101	98.02	1	101	1	101	2.3e-66	221	KO:K02946	small subunit ribosomal protein S10		Yes
2727794537	716	89.64	1	714	1	714	0.0e+00	1490	KO:K02355	elongation factor G		Yes
2727794539	252	37.44	52	251	28	230	1.1e-37	152	KO:K03773	FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8]	EC:5.2.1.8	Yes
2727794539	252	38.68	52	252	21	232	2.5e-35	145	KO:K03772	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [EC:5.2.1.8]	EC:5.2.1.8	Yes
2727794542	595	64.35	5	593	7	591	0.0e+00	900	KO:K01897	long-chain acyl-CoA synthetase [EC:6.2.1.3]	EC:6.2.1.3	Yes
2727794550	148	53.79	1	143	1	145	9.7e-49	177	KO:K01095	phosphatidylglycerophosphatase A [EC:3.1.3.27]	EC:3.1.3.27	Yes
2727794551	441	81.18	1	441	1	441	0.0e+00	853	KO:K01858	myo-inositol-1-phosphate synthase [EC:5.5.1.4]	EC:5.5.1.4	Yes
2727794553	363	56.62	8	362	1	355	0.0e+00	494	KO:K00831	phosphoserine aminotransferase [EC:2.6.1.52]	EC:2.6.1.52	Yes
2727794560	385	67.46	7	384	6	383	0.0e+00	619	KO:K14287	methionine aminotransferase [EC:2.6.1.-]	EC:2.6.1.-	Yes
2727794564	238	82.28	1	237	1	235	0.0e+00	446	KO:K09903	uridylate kinase [EC:2.7.4.22]	EC:2.7.4.22	Yes
2727794565	274	78.39	2	274	6	278	0.0e+00	495	KO:K02357	elongation factor Ts		Yes
2727794566	295	78.57	1	292	1	294	0.0e+00	529	KO:K02967	small subunit ribosomal protein S2		Yes
2727794567	129	81.4	1	129	1	129	9.5e-71	237	KO:K02996	small subunit ribosomal protein S9		Yes
2727794568	147	76.87	1	147	1	147	7.0e-85	279	KO:K02871	large subunit ribosomal protein L13		Yes
2727794571	245	48.18	1	244	1	239	2.6e-67	239	KO:K03773	FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8]	EC:5.2.1.8	Yes
2727794572	444	71.24	1	443	1	444	0.0e+00	738	KO:K01755	argininosuccinate lyase [EC:4.3.2.1]	EC:4.3.2.1	Yes
2727794573	363	66.48	2	356	3	357	0.0e+00	553	KO:K01438	acetylornithine deacetylase [EC:3.5.1.16]	EC:3.5.1.16	Yes
2727794574	261	70.11	1	261	1	261	0.0e+00	426	KO:K00930	acetylglutamate kinase [EC:2.7.2.8]	EC:2.7.2.8	Yes
2727794575	320	76.95	1	319	1	321	0.0e+00	587	KO:K13043	N-succinyl-L-ornithine transcarbamylase [EC:2.1.3.11]	EC:2.1.3.11	Yes
2727794577	376	75.73	1	375	1	375	0.0e+00	671	KO:K00818	acetylornithine aminotransferase [EC:2.6.1.11]	EC:2.6.1.11	Yes
2727794578	326	67.69	2	326	5	327	0.0e+00	507	KO:K00145	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	EC:1.2.1.38	Yes
2727794580	408	88.32	15	408	5	398	0.0e+00	826	KO:K01940	argininosuccinate synthase [EC:6.3.4.5]	EC:6.3.4.5	Yes
2727794587	1259	37.56	6	1259	9	1261	0.0e+00	920	KO:K08282	non-specific serine/threonine protein kinase [EC:2.7.11.1]	EC:2.7.11.1	Yes
2727794588	239	66.95	3	239	4	242	2.2e-115	375	KO:K05979	2-phosphosulfolactate phosphatase [EC:3.1.3.71]	EC:3.1.3.71	Yes
2727794589	112	63.96	1	111	1	111	2.4e-49	175	KO:K03111	single-strand DNA-binding protein		Yes
2727794591	124	57.26	1	124	1	120	2.9e-42	156	KO:K03642	rare lipoprotein A		Yes
2727794592	361	82.22	1	360	1	360	0.0e+00	702	KO:K00605	aminomethyltransferase [EC:2.1.2.10]	EC:2.1.2.10	Yes
2727794596	121	81.13	1	106	1	106	2.0e-57	199	KO:K10947	PadR family transcriptional regulator, regulatory protein PadR		Yes
2727794600	301	62.88	1	299	1	299	0.0e+00	449	KO:K00784	ribonuclease Z [EC:3.1.26.11]	EC:3.1.26.11	Yes
2727794601	90	78.89	1	90	1	90	1.7e-45	162	KO:K02956	small subunit ribosomal protein S15		Yes
2727794602	735	81.72	10	719	1	711	0.0e+00	1330	KO:K00962	polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]	EC:2.7.7.8	Yes
2727794603	272	46.27	1	267	3	269	7.7e-80	277	KO:K02687	ribosomal protein L11 methyltransferase [EC:2.1.1.-]	EC:2.1.1.-	Yes
