gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2727794517	155	2	155	5.4e-65	204.2	TIGR01029	ribosomal protein S7, bacterial/organelle
2727794518	126	1	124	2.0e-72	227.1	TIGR00981	ribosomal protein S12, bacterial/organelle
2727794520	354	45	354	2.9e-102	327.8	TIGR01123	branched-chain amino acid aminotransferase, group II
2727794529	114	5	110	3.3e-31	93.8	TIGR01044	ribosomal protein L22, bacterial type
2727794530	89	1	89	3.1e-45	138.7	TIGR01050	ribosomal protein S19, bacterial/organelle
2727794531	279	3	274	3.1e-121	389.9	TIGR01171	ribosomal protein L2, bacterial/organellar
2727794533	211	17	205	3.0e-74	234.5	TIGR03953	50S ribosomal protein L4, bacterial/organelle
2727794534	205	3	204	1.2e-79	253	TIGR03625	50S ribosomal protein uL3, bacterial form
2727794535	101	3	101	1.1e-46	143.4	TIGR01049	ribosomal protein S10, bacterial/organelle
2727794537	716	1	710	0.0e+00	1044.7	TIGR00484	translation elongation factor EF-G
2727794537	716	6	191	8.2e-36	110.9	TIGR00231	small GTP-binding protein domain
2727794553	363	10	362	0.0e+00	425.7	TIGR01364	phosphoserine aminotransferase
2727794557	398	74	396	1.2e-52	164.9	TIGR01730	RND family efflux transporter, MFP subunit
2727794559	264	7	242	1.5e-37	115.3	TIGR00266	TIGR00266 family protein
2727794564	238	5	238	2.2e-103	330.9	TIGR02075	uridylate kinase
2727794565	274	1	274	1.3e-78	250.2	TIGR00116	translation elongation factor Ts
2727794566	295	5	229	1.1e-95	305.1	TIGR01011	ribosomal protein S2, bacterial type
2727794568	147	7	147	7.8e-63	196.6	TIGR01066	ribosomal protein L13, bacterial type
2727794572	444	4	437	1.5e-104	336.4	TIGR00838	argininosuccinate lyase
2727794574	261	4	240	5.3e-60	188.8	TIGR00761	acetylglutamate kinase
2727794576	119	9	117	2.5e-38	116.9	TIGR02436	four helix bundle protein
