id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	bigg id	kegg id	kegg pathways	metacyc pathways
rxn07431_c0	=	Cytosol_0	((Ga0182890_10533 or Ga0182890_106359 or Ga0182890_108207) and (Ga0182890_106359 or Ga0182890_108207 or Ga0182890_10533))	R07600_c0		-2.81		(1)  cpd00213[c0] + (1)  cpd14700[c0] <=> (1)  cpd00056[c0] + (1)  cpd02700[c0]	(1)  Lipoamide_c0[c0] + (1)  2-Methyl-1-hydroxypropyl-TPP_c0[c0] <=> (1)  TPP_c0[c0] + (1)  S-(2-Methylpropionyl) -dihydrolipoamide_c0[c0]		R07600	Valine, leucine and isoleucine degradation	
rxn08180_c0	>	Cytosol_0	Ga0182890_106105	Biotin synthase_c0		-14.98		(1)  cpd00017[c0] + (1)  cpd00074[c0] + (1)  cpd01311[c0] => (1)  cpd00060[c0] + (1)  cpd00067[c0] + (1)  cpd00104[c0] + (1)  cpd03091[c0]	(1)  S-Adenosyl-L-methionine_c0[c0] + (1)  S_c0[c0] + (1)  Dethiobiotin_c0[c0] => (1)  L-Methionine_c0[c0] + (1)  H+_c0[c0] + (1)  BIOT_c0[c0] + (1)  5'-Deoxyadenosine_c0[c0]	BTS4			
rxn00364_c0	=	Cytosol_0	Ga0182890_11876	ATP:CMP phosphotransferase_c0		9.53		(1)  cpd00002[c0] + (1)  cpd00046[c0] + (1)  cpd00067[c0] <=> (1)  cpd00008[c0] + (1)  cpd00096[c0]	(1)  ATP_c0[c0] + (1)  CMP_c0[c0] + (1)  H+_c0[c0] <=> (1)  ADP_c0[c0] + (1)  CDP_c0[c0]	CYTK1	R00512	Pyrimidine metabolism	Biosynthesis|Metabolic-Clusters|Nucleotide-Biosynthesis|P1-PWY|PRPP-PWY|PUR-NUC-SYN|PWY0-162|PWY0-163|PYR-NUC-SYN|Purine-Nucleotides-Salvage|Pyrimidine-De-Novo-Biosyn|Pyrimidine-Nucleotide-Salvage
rxn03408_c0	=	Cytosol_0	(Ga0182890_12361 or Ga0182890_110153)	UDP-N-acetyl-D-glucosamine:undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine 4-beta-N-acetylglucosaminlytransferase_c0		-1.7		(1)  cpd00037[c0] + (1)  cpd03494[c0] <=> (1)  cpd00014[c0] + (1)  cpd03495[c0]	(1)  UDP-N-acetylglucosamine_c0[c0] + (1)  Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine_c0[c0] <=> (1)  UDP_c0[c0] + (1)  Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala_c0[c0]		R05032	Peptidoglycan biosynthesis	
rxn02177_c0	>	Cytosol_0	Ga0182890_109212	Isochorismate pyruvate-hydrolase_c0		-12.22		(1)  cpd00001[c0] + (1)  cpd00658[c0] => (1)  cpd00020[c0] + (1)  cpd02566[c0]	(1)  H2O_c0[c0] + (1)  Isochorismate_c0[c0] => (1)  Pyruvate_c0[c0] + (1)  2,3-Dihydroxy-2,3-dihydrobenzoate_c0[c0]		R03037	Biosynthesis of siderophore group nonribosomal peptides	ALL-CHORISMATE-PWY|AROMATIC-COMPOUNDS-BIOSYN|Biosynthesis|ENTBACSYN-PWY|Siderophores-Biosynthesis
rxn05250_c0	>	Cytosol_0	Ga0182890_1024	FACOAL160(ISO)_c0		-4.296		(1)  cpd00002[c0] + (1)  cpd00010[c0] + (1)  cpd11440[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd11441[c0]	(1)  ATP_c0[c0] + (1)  CoA_c0[c0] + (1)  fa6_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  fa6coa_c0[c0]				
rxn05440_c0	>	Cytosol_0	Ga0182890_108339	7-methyl-trans-oct-2-enoyl-ACP:NAD+ oxidoreductase (A-specific)_c0		-16.55		(1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd11527[c0] => (1)  cpd00003[c0] + (1)  cpd11528[c0]	(1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  7-methyl-trans-oct-2-enoyl-ACP_c0[c0] => (1)  NAD_c0[c0] + (1)  7-methyl-octanoyl-ACP_c0[c0]				
rxn01673_c0	=	Cytosol_0	Ga0182890_110103	ATP:dCDP phosphotransferase_c0		0		(1)  cpd00002[c0] + (1)  cpd00533[c0] <=> (1)  cpd00008[c0] + (1)  cpd00356[c0]	(1)  ATP_c0[c0] + (1)  dCDP_c0[c0] <=> (1)  ADP_c0[c0] + (1)  dCTP_c0[c0]	NDPK7	R02326	Pyrimidine metabolism	Biosynthesis|Nucleotide-Biosynthesis|PWY0-166|PYR-NUC-SYN|Pyrimid-Deoxyribonucleot-De-Novo-Biosyn
rxn00247_c0	>	Cytosol_0	Ga0182890_10750	ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)_c0	4.1.1.49	-9.82		(1)  cpd00002[c0] + (1)  cpd00032[c0] => (1)  cpd00008[c0] + (1)  cpd00011[c0] + (1)  cpd00061[c0]	(1)  ATP_c0[c0] + (1)  Oxaloacetate_c0[c0] => (1)  ADP_c0[c0] + (1)  CO2_c0[c0] + (1)  Phosphoenolpyruvate_c0[c0]	PCK1	R00341	Glycolysis / Gluconeogenesis|Citrate cycle (TCA cycle)|Pyruvate metabolism|Carbon fixation in photosynthetic organisms	Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Energy-Metabolism|GLUCONEO-PWY|Gluconeogenesis
rxn02360_c0	=	Cytosol_0	Ga0182890_10758	trans-4-Hydroxy-L-proline 2-epimerase_c0	5.1.1.8	0		(1)  cpd00851[c0] <=> (1)  cpd02175[c0]	(1)  trans-4-Hydroxy-L-proline_c0[c0] <=> (1)  cis-4-Hydroxy-D-proline_c0[c0]		R03296	Arginine and proline metabolism	4-Hydroxyproline-Degradation|Amino-Acid-Degradation|Degradation
