gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2727813499	218	26.79	4	204	5	207	5.0e-20	91.2	COG1999	Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family	207
2727813501	357	28.38	3	288	1	290	1.0e-47	184	COG1454	Alcohol dehydrogenase, class IV	377
2727813503	333	35.44	3	318	1	309	2.0e-72	266	COG1984	Allophanate hydrolase subunit 2	314
2727813504	261	50	10	244	4	243	2.0e-87	315	COG1540	Lactam utilization protein B (function unknown)	252
2727813505	406	29.9	22	405	18	413	6.0e-53	202	COG1914	Mn2+ and Fe2+ transporters of the NRAMP family	416
2727813506	234	31.67	1	213	7	223	9.0e-37	146	COG0300	Short-chain dehydrogenase	265
2727813507	231	28.21	1	231	2	226	1.0e-24	106	COG1011	FMN phosphatase YigB, HAD superfamily	229
2727813509	219	34.25	3	215	28	234	3.0e-38	151	COG0688	Phosphatidylserine decarboxylase	239
2727813510	457	31.4	8	430	42	466	4.0e-88	318	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	472
2727813511	221	38	63	211	1	149	2.0e-39	156	COG0386	Glutathione peroxidase, house-cleaning role in reducing lipid peroxides	162
2727813514	247	28	1	241	2	250	6.0e-35	141	COG1192	Cellulose biosynthesis protein BcsQ	259
2727813515	243	32.92	1	239	1	227	3.0e-44	172	COG4947	Esterase/lipase superfamily enzyme	227
2727813518	482	27.95	40	349	9	325	4.0e-51	195	COG1473	Metal-dependent amidase/aminoacylase/carboxypeptidase	392
2727813519	507	54.6	1	504	6	502	0.0e+00	635	COG1190	Lysyl-tRNA synthetase (class II)	502
2727813521	335	51.47	25	329	22	324	1.0e-112	399	COG0379	Quinolinate synthase	324
2727813525	196	18.92	17	190	11	194	9.0e-12	63.7	COG0664	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	214
2727813526	182	24.53	26	175	18	176	3.0e-13	68.7	COG2128	Alkylhydroperoxidase family enzyme, contains CxxC motif	177
2727813528	512	27.59	7	402	3	385	2.0e-48	187	COG1680	CubicO group peptidase, beta-lactamase class C family	390
2727813530	185	25.99	8	184	19	181	1.0e-25	109	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family	182
2727813531	1045	24.62	615	977	24	406	8.0e-32	133	COG1228	Imidazolonepropionase or related amidohydrolase	406
2727813532	453	23.17	23	439	1	406	4.0e-29	123	COG1228	Imidazolonepropionase or related amidohydrolase	406
2727813535	945	51	348	945	2	593	0.0e+00	645	COG0749	DNA polymerase I - 3'-5' exonuclease and polymerase domains	593
2727813537	206	23.32	5	194	7	195	3.0e-11	61.9	COG4430	Uncharacterized conserved protein YdeI, YjbR/CyaY-like superfamily, DUF1801 family	200
2727813542	596	39.24	2	593	14	607	0.0e+00	521	COG1022	Long-chain acyl-CoA synthetase (AMP-forming)	613
2727813543	264	38.02	5	244	59	294	7.0e-61	227	COG4302	Ethanolamine ammonia-lyase, small subunit	294
2727813544	460	56.89	1	444	1	448	0.0e+00	658	COG4303	Ethanolamine ammonia-lyase, large subunit	453
2727813545	438	21.13	3	426	37	494	3.0e-26	113	COG0833	Amino acid permease	541
2727813546	485	23.55	44	334	3	254	4.0e-28	119	COG0673	Predicted dehydrogenase	342
2727813547	263	27.47	17	247	1	219	7.0e-31	127	COG0340	Biotin-(acetyl-CoA carboxylase) ligase	238
2727813548	133	39.62	23	128	5	108	5.0e-28	116	COG0799	Ribosomal silencing factor RsfS, regulates association of 30S and 50S subunits	115
2727813549	695	50.08	34	658	1	596	0.0e+00	629	COG0465	ATP-dependent Zn proteases	596
2727813550	211	28.51	6	211	3	217	4.0e-24	104	COG1556	L-lactate utilization protein LutC, contains LUD domain	218
2727813551	251	24.12	10	231	1	215	2.0e-17	83	COG2908	UDP-2,3-diacylglucosamine pyrophosphatase LpxH	237
2727813552	363	22.3	68	362	7	299	3.0e-17	83.4	COG0668	Small-conductance mechanosensitive channel	316
2727813554	180	27.27	80	178	1	92	3.0e-07	48.2	COG0789	DNA-binding transcriptional regulator, MerR family	124
2727813555	282	44.68	3	282	2	283	8.0e-84	303	COG1250	3-hydroxyacyl-CoA dehydrogenase	307
2727813556	590	36.54	23	585	16	585	0.0e+00	472	COG4805	Uncharacterized conserved protein, DUF885 familyt	588
2727813557	375	23.14	1	375	1	380	2.0e-28	120	COG0438	Glycosyltransferase involved in cell wall bisynthesis	381
2727813559	150	49.66	1	149	1	148	4.0e-26	110	COG1610	Uncharacterized conserved protein YqeY	148
2727813561	251	23.16	10	251	11	282	4.0e-25	108	COG0596	Pimeloyl-ACP methyl ester carboxylesterase	282
2727813562	220	22.41	5	114	2	117	9.0e-07	47.4	COG0517	CBS domain	117
2727813564	292	35.74	1	287	1	280	2.0e-49	189	COG0061	NAD kinase	281
2727813565	257	39.68	6	252	1	216	1.0e-67	250	COG2049	Allophanate hydrolase subunit 1	223
2727813566	187	20.23	27	187	24	195	1.0e-11	62.9	COG0664	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	214
2727813567	789	27.72	33	420	1	381	3.0e-59	223	COG1472	Periplasmic beta-glucosidase and related glycosidases	397
2727813568	280	45.71	6	280	3	276	1.0e-69	256	COG0264	Translation elongation factor EF-Ts	296
2727813569	295	51.01	9	255	7	252	5.0e-80	290	COG0052	Ribosomal protein S2	252
