gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2727794515	96	1	90	1	89	3.0e-26	91.3	pfam00216	Bac_DNA_binding	90
2727794517	155	1	148	3	149	4.8e-59	198.2	pfam00177	Ribosomal_S7	149
2727794518	126	2	123	2	135	8.7e-44	148.3	pfam00164	Ribosom_S12_S23	135
2727794520	354	70	312	2	222	1.4e-31	109.9	pfam01063	Aminotran_4	223
2727794522	183	12	153	1	138	6.2e-30	104.5	pfam13302	Acetyltransf_3	138
2727794523	169	45	169	6	108	7.6e-19	68.2	pfam02518	HATPase_c	111
2727794524	2515	25	136	21	119	1.5e-08	34.8	pfam13474	SnoaL_3	121
2727794524	2515	2263	2345	1	63	5.2e-09	35.9	pfam00512	HisKA	64
2727794524	2515	2393	2515	6	108	5.6e-20	71.8	pfam02518	HATPase_c	111
2727794525	153	5	119	2	121	5.1e-30	103.9	pfam01797	Y1_Tnp	121
2727794526	89	16	87	53	109	6.1e-07	29.9	pfam02518	HATPase_c	111
2727794527	729	479	561	1	63	3.7e-10	39.6	pfam00512	HisKA	64
2727794527	729	609	729	7	105	4.5e-18	65.7	pfam02518	HATPase_c	111
2727794529	114	7	111	2	101	6.4e-27	93.9	pfam00237	Ribosomal_L22	102
2727794530	89	3	84	1	81	2.4e-34	116.9	pfam00203	Ribosomal_S19	81
2727794531	279	42	118	1	77	2.9e-30	103.9	pfam00181	Ribosomal_L2	77
2727794531	279	125	249	2	126	2.0e-53	179.8	pfam03947	Ribosomal_L2_C	126
2727794532	99	5	95	2	86	2.6e-29	101.3	pfam00276	Ribosomal_L23	86
2727794533	211	17	206	1	191	4.3e-62	209.1	pfam00573	Ribosomal_L4	192
2727794534	205	65	183	203	288	2.7e-13	49.5	pfam00297	Ribosomal_L3	369
2727794535	101	6	100	1	98	6.6e-36	122.3	pfam00338	Ribosomal_S10	98
2727794536	829	222	389	3	155	3.0e-18	65.8	pfam04932	Wzy_C	155
2727794537	716	5	292	4	194	1.6e-64	216.9	pfam00009	GTP_EFTU	194
2727794537	716	334	401	1	74	4.1e-13	49.4	pfam03144	GTP_EFTU_D2	74
2727794537	716	414	488	1	73	3.6e-33	113.3	pfam14492	EFG_II	75
2727794537	716	489	615	1	121	4.2e-35	120	pfam03764	EFG_IV	121
2727794537	716	617	704	2	88	3.8e-30	103.6	pfam00679	EFG_C	89
2727794538	228	135	222	9	92	9.0e-12	45	pfam00254	FKBP_C	94
2727794539	252	43	152	11	121	4.9e-11	42.9	pfam01346	FKBP_N	121
2727794539	252	157	246	3	94	2.1e-18	66.3	pfam00254	FKBP_C	94
2727794542	595	10	465	3	422	7.2e-93	311.3	pfam00501	AMP-binding	423
2727794543	96	7	93	2	64	6.3e-13	48.7	pfam13239	2TM	76
2727794544	339	98	160	13	66	6.5e-03	17	pfam13432	TPR_16	68
2727794545	411	4	408	1	393	0.0e+00	437.2	pfam06245	DUF1015	394
2727794546	314	109	291	22	189	1.4e-28	99.8	pfam14378	PAP2_3	190
2727794547	438	30	104	2	66	7.7e-13	48.9	pfam01066	CDP-OH_P_transf	66
2727794547	438	297	435	1	138	1.8e-48	163.9	pfam16117	DUF4833	138
2727794548	848	28	111	1	88	2.8e-14	52.7	pfam13715	CarbopepD_reg_2	88
2727794549	123	8	122	7	117	5.4e-21	74.9	pfam04138	GtrA	117
2727794550	148	5	145	3	142	1.2e-31	109.5	pfam04608	PgpA	143
2727794551	441	12	418	1	322	2.1e-103	346	pfam07994	NAD_binding_5	322
2727794551	441	246	358	1	109	5.8e-31	106.8	pfam01658	Inos-1-P_synth	109
2727794552	198	13	59	1	47	8.7e-16	57.3	pfam00440	TetR_N	47
2727794553	363	10	351	2	369	1.5e-40	139.2	pfam00266	Aminotran_5	371
2727794554	245	105	206	1	105	1.3e-26	92.4	pfam04367	DUF502	106
2727794555	208	8	54	4	45	2.5e-12	46.2	pfam00440	TetR_N	47
2727794556	448	34	235	1	188	8.8e-22	77.7	pfam02321	OEP	188
2727794556	448	260	446	9	188	6.2e-28	97.7	pfam02321	OEP	188
2727794557	398	83	311	4	197	3.7e-13	49.1	pfam16576	HlyD_D23	214
2727794558	1198	16	1134	4	1019	0.0e+00	574.3	pfam00873	ACR_tran	1021
2727794559	264	9	228	1	201	1.9e-64	217	pfam01987	AIM24	202
