Gene	Transcript	FDR	P-Value	Number of species included	Number of Sites under positive Selection	Jalview protein alignment	Protein Alignment (interleaved)
2727792076	2727792076	0	0.000e+00	16	22	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792076/Ramlibacter_MAG/2727792076_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792076/Ramlibacter_MAG/2727792076_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793459	2727793459	1.6655e-13	3.331e-16	18	14	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793459/Ramlibacter_MAG/2727793459_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793459/Ramlibacter_MAG/2727793459_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793669	2727793669	7.4e-13	2.220e-15	16	25	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793669/Ramlibacter_MAG/2727793669_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793669/Ramlibacter_MAG/2727793669_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792227	2727792227	7.994e-13	3.997e-15	15	47	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792227/Ramlibacter_MAG/2727792227_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792227/Ramlibacter_MAG/2727792227_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793309	2727793309	7.994e-13	3.997e-15	16	45	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793309/Ramlibacter_MAG/2727793309_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793309/Ramlibacter_MAG/2727793309_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792550	2727792550	8.32666666666667e-13	4.996e-15	9	46	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792550/Ramlibacter_MAG/2727792550_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792550/Ramlibacter_MAG/2727792550_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791342	2727791342	2.37857142857143e-12	1.665e-14	16	23	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791342/Ramlibacter_MAG/2727791342_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791342/Ramlibacter_MAG/2727791342_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792902	2727792902	4.635e-12	3.708e-14	16	28	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792902/Ramlibacter_MAG/2727792902_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792902/Ramlibacter_MAG/2727792902_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791606	2727791606	1.19e-11	1.071e-13	16	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791606/Ramlibacter_MAG/2727791606_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791606/Ramlibacter_MAG/2727791606_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792353	2727792353	1.336e-11	1.336e-13	19	16	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792353/Ramlibacter_MAG/2727792353_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792353/Ramlibacter_MAG/2727792353_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
