Gene	Transcript	FDR	P-Value	Number of species included	Number of Sites under positive Selection	Jalview protein alignment	Protein Alignment (interleaved)
2727791342	2727791342	0	0.000e+00	16	40	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791342/Ramlibacter_MAG/2727791342_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791342/Ramlibacter_MAG/2727791342_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793877	2727793877	1.356864e-11	1.776e-14	11	33	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727793877/Ramlibacter_MAG/2727793877_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727793877/Ramlibacter_MAG/2727793877_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727794206	2727794206	4.05684e-10	8.424e-13	16	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727794206/Ramlibacter_MAG/2727794206_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727794206/Ramlibacter_MAG/2727794206_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727794318	2727794318	4.05684e-10	1.062e-12	15	39	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727794318/Ramlibacter_MAG/2727794318_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727794318/Ramlibacter_MAG/2727794318_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792599	2727792599	4.49996e-10	1.479e-12	16	15	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792599/Ramlibacter_MAG/2727792599_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792599/Ramlibacter_MAG/2727792599_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791088	2727791088	4.49996e-10	1.767e-12	15	34	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791088/Ramlibacter_MAG/2727791088_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791088/Ramlibacter_MAG/2727791088_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793059	2727793059	6.52674285714286e-10	2.990e-12	19	37	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727793059/Ramlibacter_MAG/2727793059_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727793059/Ramlibacter_MAG/2727793059_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791658	2727791658	1.190503e-09	6.233e-12	12	25	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791658/Ramlibacter_MAG/2727791658_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791658/Ramlibacter_MAG/2727791658_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792505	2727792505	1.4039264e-09	9.099e-12	16	15	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792505/Ramlibacter_MAG/2727792505_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792505/Ramlibacter_MAG/2727792505_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792390	2727792390	1.4039264e-09	9.188e-12	16	23	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792390/Ramlibacter_MAG/2727792390_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792390/Ramlibacter_MAG/2727792390_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793426	2727793426	1.90722181818182e-09	1.373e-11	4	27	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727793426/Ramlibacter_MAG/2727793426_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727793426/Ramlibacter_MAG/2727793426_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
