id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	bigg id	kegg id	kegg pathways	metacyc pathways
rxn02201_c0	>	Cytosol_0	Ga0182881_109122	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase_c0		-32.19		(1)  cpd00443[c0] + (1)  cpd02920[c0] => (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd00683[c0]	(1)  ABEE_c0[c0] + (1)  2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridinediphosphate_c0[c0] => (1)  PPi_c0[c0] + (1)  H+_c0[c0] + (1)  Dihydropteroate_c0[c0]	DHPS2	R03067	Folate biosynthesis	ALL-CHORISMATE-PWY|Biosynthesis|Cofactor-Biosynthesis|FOLSYN-PWY|Folate-Biosynthesis|Vitamin-Biosynthesis
rxn11567_c0	=	Cytosol_0	Ga0182881_101341	beta-D-Galactosyl-1,4-beta-D-glucosylceramide galactohydrolase_c0		-3.11		(1)  cpd00001[c0] + (1)  cpd00947[c0] <=> (1)  cpd00108[c0] + (1)  cpd00878[c0]	(1)  H2O_c0[c0] + (1)  LacCer_c0[c0] <=> (1)  Galactose_c0[c0] + (1)  Glucocerebroside_c0[c0]		R03355	Sphingolipid metabolism	
rxn00364_c0	=	Cytosol_0	Ga0182881_11102	ATP:CMP phosphotransferase_c0		9.53		(1)  cpd00002[c0] + (1)  cpd00046[c0] + (1)  cpd00067[c0] <=> (1)  cpd00008[c0] + (1)  cpd00096[c0]	(1)  ATP_c0[c0] + (1)  CMP_c0[c0] + (1)  H+_c0[c0] <=> (1)  ADP_c0[c0] + (1)  CDP_c0[c0]	CYTK1	R00512	Pyrimidine metabolism	Biosynthesis|Metabolic-Clusters|Nucleotide-Biosynthesis|P1-PWY|PRPP-PWY|PUR-NUC-SYN|PWY0-162|PWY0-163|PYR-NUC-SYN|Purine-Nucleotides-Salvage|Pyrimidine-De-Novo-Biosyn|Pyrimidine-Nucleotide-Salvage
rxn05440_c0	>	Cytosol_0	Ga0182881_111456	7-methyl-trans-oct-2-enoyl-ACP:NAD+ oxidoreductase (A-specific)_c0		-16.55		(1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd11527[c0] => (1)  cpd00003[c0] + (1)  cpd11528[c0]	(1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  7-methyl-trans-oct-2-enoyl-ACP_c0[c0] => (1)  NAD_c0[c0] + (1)  7-methyl-octanoyl-ACP_c0[c0]				
rxn01673_c0	=	Cytosol_0	Ga0182881_109125	ATP:dCDP phosphotransferase_c0		0		(1)  cpd00002[c0] + (1)  cpd00533[c0] <=> (1)  cpd00008[c0] + (1)  cpd00356[c0]	(1)  ATP_c0[c0] + (1)  dCDP_c0[c0] <=> (1)  ADP_c0[c0] + (1)  dCTP_c0[c0]	NDPK7	R02326	Pyrimidine metabolism	Biosynthesis|Nucleotide-Biosynthesis|PWY0-166|PYR-NUC-SYN|Pyrimid-Deoxyribonucleot-De-Novo-Biosyn
rxn00247_c0	>	Cytosol_0	Ga0182881_104975	ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)_c0	4.1.1.49	-9.82		(1)  cpd00002[c0] + (1)  cpd00032[c0] => (1)  cpd00008[c0] + (1)  cpd00011[c0] + (1)  cpd00061[c0]	(1)  ATP_c0[c0] + (1)  Oxaloacetate_c0[c0] => (1)  ADP_c0[c0] + (1)  CO2_c0[c0] + (1)  Phosphoenolpyruvate_c0[c0]	PCK1	R00341	Glycolysis / Gluconeogenesis|Citrate cycle (TCA cycle)|Pyruvate metabolism|Carbon fixation in photosynthetic organisms	Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Energy-Metabolism|GLUCONEO-PWY|Gluconeogenesis
rxn10311_c0	=	Cytosol_0	Ga0182881_111146	anteisoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted_c0		-40.8		(24)  cpd00037[c0] + (1)  cpd15750[c0] <=> (24)  cpd00014[c0] + (1)  cpd15768[c0]	(24)  UDP-N-acetylglucosamine_c0[c0] + (1)  Anteisoheptadecanoyllipoteichoic acid (n=24) , linked, unsubstituted_c0[c0] <=> (24)  UDP_c0[c0] + (1)  Anteisoheptadecanoyllipoteichoic acid (n=24) , linked, N-acetyl-D-glucosamine_c0[c0]				
rxn01452_c0	=	Cytosol_0	(Ga0182881_114037 or Ga0182881_114037)	(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase_c0		3.76		(1)  cpd00006[c0] + (1)  cpd00842[c0] <=> (1)  cpd00005[c0] + (1)  cpd00067[c0] + (1)  cpd00279[c0]	(1)  NADP_c0[c0] + (1)  (S) -3-Hydroxybutyryl-CoA_c0[c0] <=> (1)  NADPH_c0[c0] + (1)  H+_c0[c0] + (1)  Acetoacetyl-CoA_c0[c0]		R01976	Benzoate degradation|Butanoate metabolism	
rxn00642_c0	>	Cytosol_0	Ga0182881_111121	GDP-mannose 4,6-hydro-lyase (GDP-4-dehydro-6-deoxy-D-mannose-forming)_c0	4.2.1.47	-13.9		(1)  cpd00083[c0] => (1)  cpd00001[c0] + (1)  cpd00900[c0]	(1)  GDP-mannose_c0[c0] => (1)  H2O_c0[c0] + (1)  GDP-4-dehydro-D-rhamnose_c0[c0]	GDPMD	R00888	Fructose and mannose metabolism|Amino sugar and nucleotide sugar metabolism	Biosynthesis|CARBO-BIOSYNTHESIS|COLANSYN-PWY|Carbohydrates-Biosynthesis|Cell-Structure-Biosynthesis|GDPRHAMSYN-PWY|Lipopolysaccharide-Biosynthesis|O-Antigen-Biosynthesis|Rhamnose-Biosynthesis|SUGAR-NUCLEOTIDES
rxn00022_c0	>	Cytosol_0	(Ga0182881_107631 or (Ga0182881_101143 or Ga0182881_101319))	maltose glucohydrolase_c0		-3.11		(1)  cpd00001[c0] + (1)  cpd00179[c0] => (2)  cpd00027[c0]	(1)  H2O_c0[c0] + (1)  Maltose_c0[c0] => (2)  D-Glucose_c0[c0]		R00028	Starch and sucrose metabolism	
rxn00973_c0	=	Cytosol_0	(Ga0182881_106618 and Unknown and Unknown and Unknown and Unknown)	citrate hydroxymutase_c0		1.42		(1)  cpd00137[c0] <=> (1)  cpd00260[c0]	(1)  Citrate_c0[c0] <=> (1)  Isocitrate_c0[c0]	ACONT	R01324		
rxn02000_c0	=	Cytosol_0	(Ga0182881_101123 or Ga0182881_111139)	dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase_c0		0		(1)  cpd00521[c0] <=> (1)  cpd00522[c0]	(1)  dTDP-4-oxo-6-deoxy-D-glucose_c0[c0] <=> (1)  dTDP-4-oxo-L-rhamnose_c0[c0]	TDPDRE	R06514	Streptomycin biosynthesis|Polyketide sugar unit biosynthesis	
rxn03239_c0	=	Cytosol_0	(((Ga0182881_11261 or Ga0182881_114037) and Ga0182881_11261) or (Ga0182881_11261 or Ga0182881_114037))	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase_c0		3.76		(1)  cpd00003[c0] + (1)  cpd03113[c0] <=> (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd03114[c0]	(1)  NAD_c0[c0] + (1)  (S) -3-Hydroxyhexadecanoyl-CoA_c0[c0] <=> (1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  3-Oxopalmitoyl-CoA_c0[c0]	HACD7	R04737	Fatty acid elongation|Fatty acid degradation	
rxn03120_c0	=	Cytosol_0	Ga0182881_108912	UDP-apiose:apigenin 7-O-beta-D-glucoside 2''-O-beta-D-apiofuranosyltransferase_c0	2.4.2.25	-1.7		(1)  cpd01140[c0] + (1)  cpd02807[c0] <=> (1)  cpd00014[c0] + (1)  cpd02952[c0]	(1)  UDP-apiose_c0[c0] + (1)  Cosmetin_c0[c0] <=> (1)  UDP_c0[c0] + (1)  Apiin_c0[c0]		R04526	Flavone and flavonol biosynthesis	Biosynthesis|FLAVONE-SYN|FLAVONOID-SYN|PHENYLPROPANOID-SYN|SECONDARY-METABOLITE-BIOSYNTHESIS
rxn04271_c0	=	Cytosol_0	Ga0182881_1107106	trans-2-Methyl-5-isopropylhexa-2,5-dienal dehydrogenase_c0		-9.8		(1)  cpd00001[c0] + (1)  cpd00003[c0] + (1)  cpd08739[c0] <=> (1)  cpd00004[c0] + (2)  cpd00067[c0] + (1)  cpd08740[c0]	(1)  H2O_c0[c0] + (1)  NAD_c0[c0] + (1)  trans-2-Methyl-5-isopropylhexa-2,5-dienal_c0[c0] <=> (1)  NADH_c0[c0] + (2)  H+_c0[c0] + (1)  trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid_c0[c0]		R06408	Limonene and pinene degradation	
rxn13783_c0	>	Cytosol_0	(Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Ga0182881_10572 and Unknown and Unknown and Unknown and Ga0182881_106688 and Ga0182881_10112 and Ga0182881_103869 and Unknown and Unknown and Unknown and Ga0182881_10196 and Ga0182881_106552 and Ga0182881_11062 and Unknown and Unknown and Unknown and Ga0182881_111321)	DNA replication_c0				 => (1)  cpd17042[c0]	 => (1)  DNA replication_c0[c0]				
rxn00557_c0	=	Cytosol_0	Ga0182881_10482	ITP:D-fructose-6-phosphate 1-phosphotransferase_c0		-14.03		(1)  cpd00068[c0] + (1)  cpd00072[c0] <=> (1)  cpd00067[c0] + (1)  cpd00090[c0] + (1)  cpd00290[c0]	(1)  ITP_c0[c0] + (1)  D-fructose-6-phosphate_c0[c0] <=> (1)  H+_c0[c0] + (1)  IDP_c0[c0] + (1)  D-fructose-1,6-bisphosphate_c0[c0]		R00770		
rxn05392_c0	>	Cytosol_0	(Ga0182881_106517 and Ga0182881_111440)	7-methyl-octanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0		2.156		(1)  cpd11492[c0] + (1)  cpd11528[c0] => (1)  cpd00011[c0] + (1)  cpd11493[c0] + (1)  cpd11529[c0]	(1)  Malonyl-acyl-carrierprotein-_c0[c0] + (1)  7-methyl-octanoyl-ACP_c0[c0] => (1)  CO2_c0[c0] + (1)  ACP_c0[c0] + (1)  9-methyl-3-oxo-decanoyl-ACP_c0[c0]				
